File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),File Name,File Size,BWT Zipped File Size,Compression Ratio (BWT Text)
,5000,2674,1.869857891,,5000,2700,1.851851852
,5000,2686,1.861504095,,5000,2705,1.848428835
,5000,2682,1.864280388,,5000,2685,1.862197393
,5000,2671,1.871958068,,5000,2697,1.853911754
,5000,2683,1.863585539,,5000,2693,1.856665429
,5000,2676,1.868460389,,5000,2700,1.851851852
,5000,2677,1.867762421,,5000,2685,1.862197393
,5000,2690,1.858736059,,5000,2691,1.858045336
,5000,2705,1.848428835,,5000,2675,1.869158879
,5000,2691,1.858045336,,5000,2672,1.871257485
,5000,2688,1.860119048,,5000,2689,1.859427296
,5000,2687,1.860811314,,5000,2688,1.860119048
,5000,2695,1.85528757,,5000,2701,1.851166235
,5000,2698,1.853224611,,5000,2683,1.863585539
,5000,2699,1.852537977,,5000,2683,1.863585539
,5000,2696,1.854599407,,5000,2695,1.85528757
,5000,2700,1.851851852,,5000,2702,1.850481125
,5000,2689,1.859427296,,5000,2694,1.855976244
,5000,2699,1.852537977,,5000,2699,1.852537977
,5000,2690,1.858736059,,5000,2683,1.863585539
,5000,2687,1.860811314,,5000,2699,1.852537977
,5000,2672,1.871257485,,5000,2699,1.852537977
,5000,2700,1.851851852,,5000,2700,1.851851852
,5000,2706,1.84774575,,5000,2701,1.851166235
,5000,2696,1.854599407,,5000,2689,1.859427296
,5000,2677,1.867762421,,5000,2703,1.849796522
,5000,2681,1.864975755,,5000,2692,1.857355126
,5000,2686,1.861504095,,5000,2703,1.849796522
,5000,2696,1.854599407,,5000,2708,1.846381093
,5000,2688,1.860119048,,5000,2692,1.857355126
,5000,2699,1.852537977,,5000,2697,1.853911754
,5000,2682,1.864280388,,5000,2708,1.846381093
,5000,2676,1.868460389,,5000,2707,1.84706317
,5000,2681,1.864975755,,5000,2690,1.858736059
,5000,2694,1.855976244,,5000,2696,1.854599407
,5000,2691,1.858045336,,5000,2696,1.854599407
,5000,2686,1.861504095,,5000,2691,1.858045336
,5000,2679,1.866368048,,5000,2701,1.851166235
,5000,2677,1.867762421,,5000,2683,1.863585539
,5000,2694,1.855976244,,5000,2701,1.851166235
,5000,2692,1.857355126,,5000,2687,1.860811314
,5000,2682,1.864280388,,5000,2708,1.846381093
,5000,2686,1.861504095,,5000,2706,1.84774575
,5000,2689,1.859427296,,5000,2690,1.858736059
,5000,2682,1.864280388,,5000,2693,1.856665429
,5000,2689,1.859427296,,5000,2705,1.848428835
,5000,2696,1.854599407,,5000,2696,1.854599407
,5000,2695,1.85528757,,5000,2697,1.853911754
,5000,2695,1.85528757,,5000,2676,1.868460389
,5000,2670,1.872659176,,5000,2702,1.850481125
,5000,2702,1.850481125,,5000,2712,1.843657817
,5000,2693,1.856665429,,5000,2692,1.857355126
,5000,2677,1.867762421,,5000,2694,1.855976244
,5000,2668,1.874062969,,5000,2692,1.857355126
,5000,2692,1.857355126,,5000,2687,1.860811314
,5000,2703,1.849796522,,5000,2700,1.851851852
,5000,2690,1.858736059,,5000,2710,1.84501845
,5000,2688,1.860119048,,5000,2708,1.846381093
,5000,2689,1.859427296,,5000,2701,1.851166235
,5000,2677,1.867762421,,5000,2703,1.849796522
,5000,2699,1.852537977,,5000,2707,1.84706317
,5000,2693,1.856665429,,5000,2694,1.855976244
,5000,2680,1.865671642,,5000,2688,1.860119048
,5000,2688,1.860119048,,5000,2685,1.862197393
,5000,2686,1.861504095,,5000,2696,1.854599407
,5000,2691,1.858045336,,5000,2704,1.849112426
,5000,2679,1.866368048,,5000,2706,1.84774575
,5000,2689,1.859427296,,5000,2685,1.862197393
,5000,2691,1.858045336,,5000,2707,1.84706317
,5000,2694,1.855976244,,5000,2688,1.860119048
,10000,5185,1.928640309,,10000,5210,1.919385797
,10000,5202,1.922337562,,10000,5204,1.92159877
,10000,5215,1.917545542,,10000,5209,1.919754271
,10000,5202,1.922337562,,10000,5217,1.916810427
,10000,5202,1.922337562,,10000,5227,1.913143294
,10000,5207,1.920491646,,10000,5239,1.908761214
,10000,5209,1.919754271,,10000,5221,1.915341889
,10000,5208,1.920122888,,10000,5205,1.921229587
,10000,5213,1.91828122,,10000,5205,1.921229587
,10000,5199,1.923446817,,10000,5209,1.919754271
,10000,5202,1.922337562,,10000,5214,1.91791331
,10000,5212,1.918649271,,10000,5216,1.917177914
,10000,5202,1.922337562,,10000,5211,1.919017463
,10000,5187,1.927896665,,10000,5194,1.925298421
,10000,5202,1.922337562,,10000,5206,1.920860546
,10000,5213,1.91828122,,10000,5206,1.920860546
,10000,5210,1.919385797,,10000,5210,1.919385797
,10000,5212,1.918649271,,10000,5203,1.921968095
,10000,5217,1.916810427,,10000,5203,1.921968095
,10000,5211,1.919017463,,10000,5220,1.915708812
,10000,5209,1.919754271,,10000,5216,1.917177914
,10000,5204,1.92159877,,10000,5217,1.916810427
,10000,5198,1.923816853,,10000,5199,1.923446817
,10000,5192,1.926040062,,10000,5212,1.918649271
,10000,5236,1.909854851,,10000,5191,1.926411096
,10000,5192,1.926040062,,10000,5230,1.912045889
,10000,5204,1.92159877,,10000,5199,1.923446817
,10000,5205,1.921229587,,10000,5225,1.913875598
,10000,5198,1.923816853,,10000,5201,1.922707172
,10000,5208,1.920122888,,10000,5193,1.92566917
,10000,5191,1.926411096,,10000,5218,1.916443082
,10000,5215,1.917545542,,10000,5205,1.921229587
,10000,5223,1.914608463,,10000,5213,1.91828122
,10000,5199,1.923446817,,10000,5196,1.924557352
,10000,5217,1.916810427,,10000,5217,1.916810427
,10000,5198,1.923816853,,10000,5230,1.912045889
,10000,5198,1.923816853,,10000,5209,1.919754271
,10000,5214,1.91791331,,10000,5174,1.932740626
,10000,5194,1.925298421,,10000,5199,1.923446817
,10000,5200,1.923076923,,10000,5223,1.914608463
,10000,5189,1.927153594,,10000,5196,1.924557352
,10000,5208,1.920122888,,10000,5189,1.927153594
,10000,5222,1.914975105,,10000,5205,1.921229587
,10000,5196,1.924557352,,10000,5201,1.922707172
,10000,5195,1.924927815,,10000,5202,1.922337562
,10000,5204,1.92159877,,10000,5220,1.915708812
,10000,5192,1.926040062,,10000,5198,1.923816853
,10000,5212,1.918649271,,10000,5190,1.926782274
,10000,5155,1.93986421,,10000,5207,1.920491646
,10000,5203,1.921968095,,10000,5217,1.916810427
,10000,5217,1.916810427,,10000,5205,1.921229587
,10000,5180,1.930501931,,10000,5204,1.92159877
,10000,5206,1.920860546,,10000,5209,1.919754271
,10000,5221,1.915341889,,10000,5192,1.926040062
,10000,5205,1.921229587,,10000,5200,1.923076923
,10000,5199,1.923446817,,10000,5203,1.921968095
,10000,5199,1.923446817,,10000,5194,1.925298421
,10000,5179,1.930874686,,10000,5204,1.92159877
,10000,5204,1.92159877,,10000,5212,1.918649271
,10000,5213,1.91828122,,10000,5227,1.913143294
