File Name,File Size,Zipped File Size (Non-BWT Text),Compression Ratio (Non-BWT Text),File Name,File Size (BWT Text),Zipped File Size (BWT Text),Compression Ratio (BWT Text)
,5000,3135,1.594896332,,5000,3142,1.591343094
,5000,3124,1.600512164,,5000,3141,1.591849729
,5000,3141,1.591849729,,5000,3143,1.59083678
,5000,3135,1.594896332,,5000,3148,1.588310038
,5000,3135,1.594896332,,5000,3144,1.590330789
,5000,3138,1.593371574,,5000,3143,1.59083678
,5000,3143,1.59083678,,5000,3138,1.593371574
,5000,3138,1.593371574,,5000,3141,1.591849729
,5000,3135,1.594896332,,5000,3140,1.592356688
,5000,3126,1.599488164,,5000,3148,1.588310038
,5000,3135,1.594896332,,5000,3147,1.588814744
,5000,3134,1.595405233,,5000,3152,1.586294416
,5000,3137,1.593879503,,5000,3143,1.59083678
,5000,3134,1.595405233,,5000,3138,1.593371574
,5000,3130,1.597444089,,5000,3143,1.59083678
,5000,3139,1.592863969,,5000,3145,1.589825119
,5000,3130,1.597444089,,5000,3136,1.594387755
,5000,3139,1.592863969,,5000,3143,1.59083678
,5000,3133,1.595914459,,5000,3137,1.593879503
,5000,3130,1.597444089,,5000,3149,1.587805653
,5000,3130,1.597444089,,5000,3143,1.59083678
,5000,3146,1.589319771,,5000,3140,1.592356688
,5000,3139,1.592863969,,5000,3140,1.592356688
,5000,3132,1.59642401,,5000,3141,1.591849729
,5000,3128,1.598465473,,5000,3135,1.594896332
,5000,3125,1.6,,5000,3140,1.592356688
,5000,3143,1.59083678,,5000,3143,1.59083678
,5000,3135,1.594896332,,5000,3138,1.593371574
,5000,3139,1.592863969,,5000,3136,1.594387755
,5000,3138,1.593371574,,5000,3138,1.593371574
,5000,3130,1.597444089,,5000,3144,1.590330789
,5000,3138,1.593371574,,5000,3140,1.592356688
,5000,3135,1.594896332,,5000,3142,1.591343094
,5000,3138,1.593371574,,5000,3144,1.590330789
,5000,3130,1.597444089,,5000,3149,1.587805653
,5000,3135,1.594896332,,5000,3141,1.591849729
,5000,3138,1.593371574,,5000,3142,1.591343094
,5000,3137,1.593879503,,5000,3134,1.595405233
,5000,3138,1.593371574,,5000,3145,1.589825119
,5000,3140,1.592356688,,5000,3136,1.594387755
,5000,3136,1.594387755,,5000,3138,1.593371574
,5000,3133,1.595914459,,5000,3145,1.589825119
,5000,3138,1.593371574,,5000,3139,1.592863969
,5000,3133,1.595914459,,5000,3140,1.592356688
,5000,3140,1.592356688,,5000,3149,1.587805653
,5000,3135,1.594896332,,5000,3146,1.589319771
,5000,3135,1.594896332,,5000,3148,1.588310038
,5000,3132,1.59642401,,5000,3142,1.591343094
,5000,3131,1.596933887,,5000,3142,1.591343094
,5000,3130,1.597444089,,5000,3144,1.590330789
,5000,3135,1.594896332,,5000,3141,1.591849729
,5000,3140,1.592356688,,5000,3147,1.588814744
,5000,3137,1.593879503,,5000,3147,1.588814744
,5000,3137,1.593879503,,5000,3141,1.591849729
,5000,3134,1.595405233,,5000,3133,1.595914459
,5000,3129,1.597954618,,5000,3143,1.59083678
,5000,3137,1.593879503,,5000,3134,1.595405233
,5000,3137,1.593879503,,5000,3141,1.591849729
,5000,3134,1.595405233,,5000,3146,1.589319771
,5000,3130,1.597444089,,5000,3149,1.587805653
,5000,3133,1.595914459,,5000,3141,1.591849729
,5000,3132,1.59642401,,5000,3145,1.589825119
,5000,3129,1.597954618,,5000,3140,1.592356688
,5000,3139,1.592863969,,5000,3144,1.590330789
,5000,3139,1.592863969,,5000,3145,1.589825119
,5000,3132,1.59642401,,5000,3141,1.591849729
,5000,3134,1.595405233,,5000,3135,1.594896332
,5000,3129,1.597954618,,5000,3134,1.595405233
,5000,3134,1.595405233,,5000,3140,1.592356688
,5000,3141,1.591849729,,5000,3142,1.591343094
,5000,3145,1.589825119,,5000,3137,1.593879503
,5000,3142,1.591343094,,5000,3144,1.590330789
,5000,3131,1.596933887,,5000,3142,1.591343094
,5000,3130,1.597444089,,5000,3147,1.588814744
,5000,3136,1.594387755,,5000,3137,1.593879503
,5000,3138,1.593371574,,5000,3142,1.591343094
,5000,3134,1.595405233,,5000,3133,1.595914459
,5000,3141,1.591849729,,5000,3145,1.589825119
,5000,3135,1.594896332,,5000,3142,1.591343094
,5000,3132,1.59642401,,5000,3139,1.592863969
,5000,3133,1.595914459,,5000,3142,1.591343094
,5000,3132,1.59642401,,5000,3147,1.588814744
,5000,3138,1.593371574,,5000,3138,1.593371574
,5000,3134,1.595405233,,5000,3139,1.592863969
,5000,3134,1.595405233,,5000,3134,1.595405233
,5000,3139,1.592863969,,5000,3140,1.592356688
,5000,3139,1.592863969,,5000,3149,1.587805653
,5000,3138,1.593371574,,5000,3141,1.591849729
,5000,3136,1.594387755,,5000,3138,1.593371574
,10000,6123,1.633186347,,10000,6143,1.627869119
,10000,6141,1.628399284,,10000,6131,1.631055293
,10000,6131,1.631055293,,10000,6139,1.628929793
,10000,6145,1.6273393,,10000,6146,1.62707452
,10000,6147,1.626809826,,10000,6149,1.626280696
,10000,6132,1.630789302,,10000,6147,1.626809826
,10000,6149,1.626280696,,10000,6143,1.627869119
,10000,6141,1.628399284,,10000,6135,1.62999185
,10000,6146,1.62707452,,10000,6152,1.625487646
,10000,6136,1.629726206,,10000,6141,1.628399284
,10000,6140,1.628664495,,10000,6141,1.628399284
,10000,6140,1.628664495,,10000,6135,1.62999185
,10000,6137,1.629460649,,10000,6138,1.629195178
,10000,6131,1.631055293,,10000,6144,1.627604167
,10000,6141,1.628399284,,10000,6138,1.629195178
,10000,6133,1.630523398,,10000,6146,1.62707452
,10000,6118,1.634521085,,10000,6148,1.626545218
,10000,6134,1.630257581,,10000,6140,1.628664495
,10000,6131,1.631055293,,10000,6152,1.625487646
,10000,6141,1.628399284,,10000,6134,1.630257581
,10000,6132,1.630789302,,10000,6145,1.6273393
,10000,6145,1.6273393,,10000,6139,1.628929793
,10000,6141,1.628399284,,10000,6142,1.628134158
,10000,6140,1.628664495,,10000,6143,1.627869119
,10000,6138,1.629195178,,10000,6145,1.6273393
,10000,6142,1.628134158,,10000,6146,1.62707452
,10000,6140,1.628664495,,10000,6142,1.628134158
,10000,6135,1.62999185,,10000,6143,1.627869119
,10000,6139,1.628929793,,10000,6147,1.626809826
,10000,6144,1.627604167,,10000,6156,1.624431449
,10000,6143,1.627869119,,10000,6145,1.6273393
,10000,6137,1.629460649,,10000,6145,1.6273393
,10000,6140,1.628664495,,10000,6144,1.627604167
,10000,6138,1.629195178,,10000,6146,1.62707452
,10000,6139,1.628929793,,10000,6146,1.62707452
,10000,6140,1.628664495,,10000,6151,1.62575191
,10000,6140,1.628664495,,10000,6146,1.62707452
,10000,6129,1.631587535,,10000,6144,1.627604167
,10000,6143,1.627869119,,10000,6148,1.626545218
,10000,6143,1.627869119,,10000,6150,1.62601626
,10000,6143,1.627869119,,10000,6143,1.627869119
,10000,6139,1.628929793,,10000,6144,1.627604167
,10000,6137,1.629460649,,10000,6142,1.628134158
,10000,6140,1.628664495,,10000,6146,1.62707452
,10000,6139,1.628929793,,10000,6146,1.62707452
,10000,6142,1.628134158,,10000,6138,1.629195178
,10000,6130,1.63132137,,10000,6141,1.628399284
,10000,6142,1.628134158,,10000,6149,1.626280696
,10000,6136,1.629726206,,10000,6145,1.6273393
,10000,6131,1.631055293,,10000,6137,1.629460649
,10000,6139,1.628929793,,10000,6140,1.628664495
,10000,6135,1.62999185,,10000,6157,1.624167614
,10000,6127,1.632120124,,10000,6142,1.628134158
,10000,6133,1.630523398,,10000,6141,1.628399284
,10000,6136,1.629726206,,10000,6135,1.62999185
,10000,6144,1.627604167,,10000,6139,1.628929793
,10000,6133,1.630523398,,10000,6143,1.627869119
,10000,6131,1.631055293,,10000,6153,1.625223468
,10000,6156,1.624431449,,10000,6147,1.626809826
,10000,6140,1.628664495,,10000,6143,1.627869119
,10000,6134,1.630257581,,10000,6144,1.627604167
,10000,6139,1.628929793,,10000,6144,1.627604167
,10000,6148,1.626545218,,10000,6142,1.628134158
