File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),,,,Compression Ratio (BWT Text)
,15000,4848,3.094059406,15000,,4857,3.088326127
,15000,4855,3.089598352,15000,,4886,3.069995907
,15000,4854,3.090234858,15000,,4857,3.088326127
,15000,4856,3.088962109,15000,,4841,3.098533361
,15000,4850,3.092783505,15000,,4858,3.087690408
,15000,4855,3.089598352,15000,,4859,3.08705495
,15000,4858,3.087690408,15000,,4840,3.099173554
,15000,4853,3.090871626,15000,,4864,3.083881579
,15000,4853,3.090871626,15000,,4873,3.078185922
,15000,4860,3.086419753,15000,,4835,3.10237849
,15000,4846,3.09533636,15000,,4851,3.092145949
,15000,4857,3.088326127,15000,,4858,3.087690408
,15000,4840,3.099173554,15000,,4854,3.090234858
,15000,4853,3.090871626,15000,,4857,3.088326127
,15000,4865,3.083247688,15000,,4841,3.098533361
,15000,4859,3.08705495,15000,,4874,3.07755437
,15000,4853,3.090871626,15000,,4867,3.081980686
,15000,4859,3.08705495,15000,,4875,3.076923077
,15000,4861,3.085784818,15000,,4870,3.080082136
,15000,4845,3.095975232,15000,,4878,3.07503075
,15000,4866,3.082614057,15000,,4888,3.068739771
,15000,4832,3.104304636,15000,,4842,3.097893432
,15000,4843,3.097253768,15000,,4865,3.083247688
,15000,4837,3.10109572,15000,,4855,3.089598352
,15000,4868,3.081347576,15000,,4865,3.083247688
,15000,4864,3.083881579,15000,,4859,3.08705495
,15000,4852,3.091508656,15000,,4854,3.090234858
,15000,4833,3.103662322,15000,,4856,3.088962109
,15000,4844,3.096614368,15000,,4872,3.078817734
,15000,4863,3.084515731,15000,,4852,3.091508656
,15000,4841,3.098533361,15000,,4856,3.088962109
,15000,4852,3.091508656,15000,,4873,3.078185922
,15000,4870,3.080082136,15000,,4867,3.081980686
,15000,4843,3.097253768,15000,,4853,3.090871626
,15000,4844,3.096614368,15000,,4840,3.099173554
,15000,4859,3.08705495,15000,,4876,3.076292043
,15000,4854,3.090234858,15000,,4852,3.091508656
,15000,4851,3.092145949,15000,,4863,3.084515731
,15000,4846,3.09533636,15000,,4860,3.086419753
,15000,4845,3.095975232,15000,,4837,3.10109572
,15000,4843,3.097253768,15000,,4864,3.083881579
,15000,4847,3.094697751,15000,,4863,3.084515731
,15000,4861,3.085784818,15000,,4852,3.091508656
,15000,4857,3.088326127,15000,,4843,3.097253768
,15000,4829,3.106233175,15000,,4858,3.087690408
,15000,4861,3.085784818,15000,,4875,3.076923077
,15000,4851,3.092145949,15000,,4885,3.07062436
,15000,4844,3.096614368,15000,,4847,3.094697751
,15000,4864,3.083881579,15000,,4864,3.083881579
,15000,4866,3.082614057,15000,,4867,3.081980686
,15000,4865,3.083247688,15000,,4865,3.083247688
,15000,4849,3.093421324,15000,,4867,3.081980686
,15000,4860,3.086419753,15000,,4896,3.06372549
,15000,4836,3.101736973,15000,,4867,3.081980686
,15000,4843,3.097253768,15000,,4867,3.081980686
,15000,4868,3.081347576,15000,,4864,3.083881579
,15000,4838,3.100454733,15000,,4865,3.083247688
,15000,4868,3.081347576,15000,,4846,3.09533636
,15000,4857,3.088326127,15000,,4857,3.088326127
,15000,4865,3.083247688,15000,,4852,3.091508656
,15000,4846,3.09533636,15000,,4864,3.083881579
,15000,4874,3.07755437,15000,,4861,3.085784818
,15000,4860,3.086419753,15000,,4858,3.087690408
,15000,4849,3.093421324,15000,,4881,3.07314075
,15000,4844,3.096614368,15000,,4865,3.083247688
,15000,4848,3.094059406,15000,,4879,3.074400492
,15000,4863,3.084515731,15000,,4852,3.091508656
,15000,4868,3.081347576,15000,,4836,3.101736973
,15000,4850,3.092783505,15000,,4855,3.089598352
,15000,4857,3.088326127,15000,,4870,3.080082136
,15000,4865,3.083247688,15000,,4864,3.083881579
,15000,4852,3.091508656,15000,,4841,3.098533361
